Abidos,sostantivo,1
Adria,sostantivo,1
Aegyptus,sostantivo,5
Africa,sostantivo,6
Affrica,sostantivo,6
Alamannia,sostantivo,1
Alexandria,sostantivo,1
Alpes,sostantivo,1
Amalech,sostantivo,3
Anglia,sostantivo,1
Anglicus,sostantivo,1
Appenninus,sostantivo,4
Apulia,sostantivo,2
Aragonia,sostantivo,1
Asia,sostantivo,8
Atlas,sostantivo,1
Ausonia,sostantivo,1
Babel,sostantivo,3
Babylo,sostantivo,3
Bononia,sostantivo,2
Brixia,sostantivo,2
Carthago,sostantivo,1
Castella,sostantivo,1
Caucasus,sostantivo,2
Castellanus,sost.,1
Constantinopolis,sostantivo,1
Cremona,sostantivo,3
Danubius,sostantivo,1
Emilis (terra),aggettivo,1
Eridanus,sostantivo,1
Ethna,sostantivo,1
Europa,sostantivo,13
Florentia,sostantivo,13
Frigia,sostantivo,1
Ganges,sostantivo,1
Gelboe,sostantivo,1
Helicon,sostantivo,2
Hesperia,sostantivo,2
Histria,sostantivo,1
Ierusalem,sostantivo,5
Iliaca (urbs),aggettivo,1
Israel,sostantivo,11
Italia,sostantivo,33
Iudaea,sostantivo,1
Latium,sostantivo,4
Libys,sostantivo,2
Lybia,sostantivo,2
Lombardia,sostantivo,4
Mantua,sostantivo,2
Marchia Anconitana,sost.,2
Marchia Ianuensis,sost.,1
Marchia Trivisiana,sost.,2
Mediolanum,sostantivo,2
Menala,sost.,1
Menalus,sost.,1
Oceanus,sostantivo,3
Pachinus,sostantivo,1
Pactolis,aggettivo,1
Padus,sostantivo,2
Papia,sostantivo,1
Peloros,sostantivo,2
Pergama,sost.,2
Pergamum,sost.,2
Perusium,sostantivo,1
Petramala,sostantivo,1
Pirene,sostantivo,1
Rhenus,sostantivo,1
Roma,sostantivo,10
Romandiola,sostantivo,3
Rubico,sostantivo,1
Saguntum,sostantivo,1
Sardinia,sostantivo,1
Sarnus,sostantivo,6
Sarpina,sostantivo,1
Saxonia,sostantivo,1
Scandinavia,sostantivo,1
Sennaar,sostantivo,1
Sextos,sostantivo,1
Sicilia,sostantivo,3
Spoletum,sostantivo,1
Thessalia,sostantivo,2
Tiberis,sostantivo,3
Trinacria,sostantivo,1
Trinacris,sostantivo,1
Troia,sostantivo,2
Tuscia,sostantivo,11
Tyrrhenus,sost.,2
Urbs Vetus,sostantivo,1
Venetiae,sostantivo,1
Vercellae,sostantivo,1
Verona,sostantivo,4
Vicentia,sostantivo,1
Viterbium,sostantivo,1
